Date,Team1,Team2,Map,Event
15/3/19,Final Feature (12),Mythic (16),"ovp
                      Overpass",ESEA MDL Season 30 North America
15/3/19,FURIA (16),Bad News Bears (5),"ovp
                      Overpass",ESEA MDL Season 30 North America
15/3/19,Luminosity (16),TeamOne (12),"inf
                      Inferno",ESEA MDL Season 30 North America
14/3/19,Complexity (20),Rogue (22),"inf
                      Inferno",ECS Season 7 North America Week 1
14/3/19,Complexity (13),Rogue (16),"ovp
                      Overpass",ECS Season 7 North America Week 1
14/3/19,Rogue (11),Complexity (16),"nuke
                      Nuke",ECS Season 7 North America Week 1
14/3/19,Astralis (16),NiP (1),"inf
                      Inferno",ECS Season 7 Europe Week 1
14/3/19,NiP (9),Astralis (16),"trn
                      Train",ECS Season 7 Europe Week 1
14/3/19,LDLC (3),Vitality (16),"d2
                      Dust2",ESEA MDL Season 30 Europe
14/3/19,Tricked (13),SJ (16),"trn
                      Train",Kalashnikov Cup Season 2
14/3/19,Vitality (16),expert (14),"cch
                      Cache",ESEA MDL Season 30 Europe
14/3/19,ENCE (9),Izako Boars (16),"cch
                      Cache",ESEA MDL Season 30 Europe
14/3/19,Uruguay (11),Sprout (16),"d2
                      Dust2",ESEA MDL Season 30 Europe
14/3/19,Chaos (16),Izako Boars (6),"inf
                      Inferno",ESEA MDL Season 30 Europe
14/3/19,forZe (16),Chaos (7),"inf
                      Inferno",ESEA MDL Season 30 Europe
14/3/19,Vitality (16),Epsilon (5),"cch
                      Cache",ECS Season 7 Europe Pinnacle Cup
14/3/19,Vitality (8),Epsilon (16),"trn
                      Train",ECS Season 7 Europe Pinnacle Cup
14/3/19,Epsilon (6),Vitality (16),"nuke
                      Nuke",ECS Season 7 Europe Pinnacle Cup
14/3/19,Absolute (12),G2 (16),"mrg
                      Mirage",WESG 2018 World Finals
14/3/19,G2 (16),Absolute (1),"d2
                      Dust2",WESG 2018 World Finals
14/3/19,Carnage fe (6),Those Damn Canadians (16),"cch
                      Cache",WESG 2018 World Finals Female
14/3/19,Carnage fe (16),Those Damn Canadians (12),"d2
                      Dust2",WESG 2018 World Finals Female
14/3/19,Those Damn Canadians (16),Carnage fe (9),"inf
                      Inferno",WESG 2018 World Finals Female
14/3/19,Windigo (16),MIBR (13),"ovp
                      Overpass",WESG 2018 World Finals
14/3/19,Windigo (8),MIBR (16),"trn
                      Train",WESG 2018 World Finals
14/3/19,Windigo (16),MIBR (8),"d2
                      Dust2",WESG 2018 World Finals
14/3/19,AVANT (17),Breakaway (19),"ovp
                      Overpass",LPL Pro League Season 1
14/3/19,Ground Zero (12),AVANT (16),"inf
                      Inferno",LPL Pro League Season 1
14/3/19,ORDER (16),Skyfire (6),"nuke
                      Nuke",ESEA MDL Season 30 Australia
14/3/19,Carnage fe (5),Lazarus fe (16),"cch
                      Cache",WESG 2018 World Finals Female
14/3/19,Lazarus fe (28),Carnage fe (24),"nuke
                      Nuke",WESG 2018 World Finals Female
14/3/19,Athletico (16),Paradox (8),"d2
                      Dust2",LPL Pro League Season 1
14/3/19,Valiance (6),AGO (16),"d2
                      Dust2",WESG 2018 World Finals
14/3/19,AGO (16),Valiance (12),"inf
                      Inferno",WESG 2018 World Finals
14/3/19,AGO (13),Valiance (16),"trn
                      Train",WESG 2018 World Finals
14/3/19,Genuine (12),Athletico (16),"mrg
                      Mirage",LPL Pro League Season 1
14/3/19,CLG Red (16),Those Damn Canadians (7),"cch
                      Cache",WESG 2018 World Finals Female
14/3/19,CLG Red (16),Those Damn Canadians (2),"trn
                      Train",WESG 2018 World Finals Female
14/3/19,CLG Red (5),Those Damn Canadians (16),"d2
                      Dust2",WESG 2018 World Finals Female
14/3/19,fnatic (16),OpTic (11),"ovp
                      Overpass",WESG 2018 World Finals
14/3/19,OpTic (14),fnatic (16),"mrg
                      Mirage",WESG 2018 World Finals
14/3/19,TeamOne (16),iNTACT (9),"inf
                      Inferno",ESEA MDL Season 30 North America
14/3/19,Final Feature (13),FURIA (16),"mrg
                      Mirage",ESEA MDL Season 30 North America
14/3/19,Mythic (16),TeamOne (9),"cch
                      Cache",ESEA MDL Season 30 North America
14/3/19,FURIA (16),Mythic (7),"ovp
                      Overpass",ESEA MDL Season 30 North America
14/3/19,W7M (11),DETONA (16),"nuke
                      Nuke",Dell Gaming Liga Pro Season 1 - #3 MAR/19
14/3/19,DETONA (16),W7M (3),"inf
                      Inferno",Dell Gaming Liga Pro Season 1 - #3 MAR/19
13/3/19,Complexity (16),NRG (5),"mrg
                      Mirage",ECS Season 7 North America Week 1
13/3/19,Complexity (16),NRG (11),"nuke
                      Nuke",ECS Season 7 North America Week 1
13/3/19,NiP (16),FaZe (5),"ovp
                      Overpass",ECS Season 7 Europe Week 1
13/3/19,FaZe (17),NiP (19),"trn
                      Train",ECS Season 7 Europe Week 1
13/3/19,FaZe (16),NiP (2),"inf
                      Inferno",ECS Season 7 Europe Week 1
13/3/19,Spirit (6),ENCE (16),"inf
                      Inferno",ESEA MDL Season 30 Europe
13/3/19,Izako Boars (16),Uruguay (19),"mrg
                      Mirage",ESEA MDL Season 30 Europe
13/3/19,Virtus.pro (7),ENCE (16),"mrg
                      Mirage",ESEA MDL Season 30 Europe
13/3/19,Spirit (16),Unicorns of Love (4),"trn
                      Train",ESEA MDL Season 30 Europe
13/3/19,Epsilon (16),LDLC (7),"mrg
                      Mirage",ESEA MDL Season 30 Europe
13/3/19,Sprout (3),Vitality (16),"d2
                      Dust2",ESEA MDL Season 30 Europe
13/3/19,Chaos (17),Virtus.pro (19),"mrg
                      Mirage",ESEA MDL Season 30 Europe
13/3/19,Spirit (5),Vitality (16),"d2
                      Dust2",ESEA MDL Season 30 Europe
13/3/19,forZe (16),Sprout (12),"trn
                      Train",ESEA MDL Season 30 Europe
13/3/19,Izako Boars (16),expert (12),"inf
                      Inferno",ESEA MDL Season 30 Europe
13/3/19,Epsilon (10),Vitality (16),"d2
                      Dust2",ESEA MDL Season 30 Europe
13/3/19,ALTERNATE aTTaX (7),ENCE (16),"d2
                      Dust2",ESEA MDL Season 30 Europe
13/3/19,France fe (20),Those Damn Canadians (22),"nuke
                      Nuke",WESG 2018 World Finals Female
13/3/19,France fe (16),Those Damn Canadians (5),"trn
                      Train",WESG 2018 World Finals Female
13/3/19,ArkAngel fe (12),Lazarus fe (16),"trn
                      Train",WESG 2018 World Finals Female
13/3/19,Lazarus fe (16),ArkAngel fe (9),"mrg
                      Mirage",WESG 2018 World Finals Female
13/3/19,CLG Red (16),TYLOO fe (8),"cch
                      Cache",WESG 2018 World Finals Female
13/3/19,CLG Red (16),TYLOO fe (10),"inf
                      Inferno",WESG 2018 World Finals Female
13/3/19,Carnage fe (12),paiN fe (16),"mrg
                      Mirage",WESG 2018 World Finals Female
13/3/19,paiN fe (2),Carnage fe (16),"cch
                      Cache",WESG 2018 World Finals Female
13/3/19,G2 (16),Panda (7),"cch
                      Cache",WESG 2018 World Finals
13/3/19,G2 (16),Panda (3),"inf
                      Inferno",WESG 2018 World Finals
13/3/19,Grayhound (16),Paradox (6),"inf
                      Inferno",ESEA MDL Season 30 Australia
13/3/19,France fe (7),Lazarus fe (16),"inf
                      Inferno",WESG 2018 World Finals Female
13/3/19,France fe (3),Lazarus fe (16),"ovp
                      Overpass",WESG 2018 World Finals Female
13/3/19,Those Damn Canadians (16),ArkAngel fe (3),"mrg
                      Mirage",WESG 2018 World Finals Female
13/3/19,Those Damn Canadians (16),ArkAngel fe (3),"d2
                      Dust2",WESG 2018 World Finals Female
13/3/19,MIBR (16),Viva Algeria (1),"d2
                      Dust2",WESG 2018 World Finals
13/3/19,MIBR (16),Viva Algeria (5),"trn
                      Train",WESG 2018 World Finals
13/3/19,TNC (10),Absolute (16),"d2
                      Dust2",WESG 2018 World Finals
13/3/19,TNC (10),Absolute (16),"ovp
                      Overpass",WESG 2018 World Finals
13/3/19,Surge (6),Breakaway (16),"ovp
                      Overpass",ESL Australia & NZ Championship Season 8
13/3/19,Breakaway (16),Surge (12),"mrg
                      Mirage",ESL Australia & NZ Championship Season 8
13/3/19,Astral Influence (8),Grayhound (16),"nuke
                      Nuke",ESEA MDL Season 30 Australia
13/3/19,CLG Red (16),Carnage fe (5),"cch
                      Cache",WESG 2018 World Finals Female
13/3/19,CLG Red (16),Carnage fe (2),"trn
                      Train",WESG 2018 World Finals Female
13/3/19,paiN fe (16),TYLOO fe (1),"mrg
                      Mirage",WESG 2018 World Finals Female
13/3/19,paiN fe (16),TYLOO fe (13),"inf
                      Inferno",WESG 2018 World Finals Female
13/3/19,Windigo (16),Furious (7),"inf
                      Inferno",WESG 2018 World Finals
13/3/19,Windigo (16),Furious (3),"ovp
                      Overpass",WESG 2018 World Finals
13/3/19,Jade (16),Athletico (6),"mrg
                      Mirage",ESL Australia & NZ Championship Season 8
13/3/19,Jade (16),Athletico (11),"cch
                      Cache",ESL Australia & NZ Championship Season 8
13/3/19,Russia (12),fnatic (16),"mrg
                      Mirage",WESG 2018 World Finals
13/3/19,Russia (12),fnatic (16),"d2
                      Dust2",WESG 2018 World Finals
13/3/19,ArkAngel fe (2),France fe (16),"d2
                      Dust2",WESG 2018 World Finals Female
13/3/19,ArkAngel fe (5),France fe (16),"inf
                      Inferno",WESG 2018 World Finals Female
13/3/19,Ukraine (9),AGO (16),"d2
                      Dust2",WESG 2018 World Finals
13/3/19,AGO (16),Ukraine (5),"ovp
                      Overpass",WESG 2018 World Finals
13/3/19,Those Damn Canadians (16),Lazarus fe (13),"cch
                      Cache",WESG 2018 World Finals Female
13/3/19,Those Damn Canadians (12),Lazarus fe (16),"inf
                      Inferno",WESG 2018 World Finals Female
13/3/19,paiN fe (13),CLG Red (16),"cch
                      Cache",WESG 2018 World Finals Female
13/3/19,paiN fe (4),CLG Red (16),"trn
                      Train",WESG 2018 World Finals Female
13/3/19,Carnage fe (16),TYLOO fe (12),"cch
                      Cache",WESG 2018 World Finals Female
13/3/19,Carnage fe (16),TYLOO fe (8),"inf
                      Inferno",WESG 2018 World Finals Female
13/3/19,OpTic (16),Alpha Red (8),"inf
                      Inferno",WESG 2018 World Finals
13/3/19,Alpha Red (7),OpTic (16),"mrg
                      Mirage",WESG 2018 World Finals
13/3/19,Valiance (19),Singularity (17),"mrg
                      Mirage",WESG 2018 World Finals
13/3/19,Singularity (9),Valiance (16),"inf
                      Inferno",WESG 2018 World Finals
13/3/19,Infamous (7),FURIA (16),"trn
                      Train",ESEA MDL Season 30 North America
13/3/19,MASSIVEimpact (16),Mythic (10),"d2
                      Dust2",ESEA MDL Season 30 North America
13/3/19,TeamOne (15),FURIA (19),"trn
                      Train",ESEA MDL Season 30 North America
13/3/19,paiN (9),W7M (16),"cch
                      Cache",Dell Gaming Liga Pro Season 1 - #3 MAR/19
13/3/19,paiN (12),W7M (16),"nuke
                      Nuke",Dell Gaming Liga Pro Season 1 - #3 MAR/19
13/3/19,paiN (16),W7M (4),"inf
                      Inferno",Dell Gaming Liga Pro Season 1 - #3 MAR/19
12/3/19,Rogue (16),Luminosity (4),"trn
                      Train",ECS Season 7 North America Week 1
12/3/19,Rogue (16),Luminosity (3),"inf
                      Inferno",ECS Season 7 North America Week 1
12/3/19,Giants (9),Sprout (16),"d2
                      Dust2",Charleroi Esports Europe Qualifier 1
12/3/19,Sprout (16),Giants (8),"inf
                      Inferno",Charleroi Esports Europe Qualifier 1
12/3/19,Unicorns of Love (4),ENCE (16),"d2
                      Dust2",ESEA MDL Season 30 Europe
12/3/19,devils.one (16),volgare (7),"trn
                      Train",NoxFire League Season 2
12/3/19,Astralis (16),AVANGAR (13),"inf
                      Inferno",ECS Season 7 Europe Week 1
12/3/19,Astralis (16),AVANGAR (14),"ovp
                      Overpass",ECS Season 7 Europe Week 1
12/3/19,expert (7),Spirit (16),"inf
                      Inferno",ESEA MDL Season 30 Europe
12/3/19,ALTERNATE aTTaX (11),ex-Fragsters (16),"inf
                      Inferno",ESEA MDL Season 30 Europe
12/3/19,Uruguay (16),ENCE (9),"inf
                      Inferno",ESEA MDL Season 30 Europe
12/3/19,Vitality (16),Unicorns of Love (4),"d2
                      Dust2",ESEA MDL Season 30 Europe
12/3/19,Sprout (16),FASTLOSE (5),"mrg
                      Mirage",Charleroi Esports Europe Qualifier 1
12/3/19,2019 (14),Giants (16),"d2
                      Dust2",Charleroi Esports Europe Qualifier 1
12/3/19,Giants (13),2019 (16),"nuke
                      Nuke",Charleroi Esports Europe Qualifier 1
12/3/19,2019 (7),Giants (16),"trn
                      Train",Charleroi Esports Europe Qualifier 1
12/3/19,Vitality (16),ALTERNATE aTTaX (11),"mrg
                      Mirage",ESEA MDL Season 30 Europe
12/3/19,devils.one (16),Nexus (9),"mrg
                      Mirage",NoxFire League Season 2
12/3/19,Chaos (6),ENCE (16),"mrg
                      Mirage",ESEA MDL Season 30 Europe
12/3/19,Spirit (16),LDLC (4),"trn
                      Train",ESEA MDL Season 30 Europe
12/3/19,Altima (9),Alpha Red (16),"inf
                      Inferno",WESG 2018 World Finals
12/3/19,Alpha Red (16),Altima (4),"ovp
                      Overpass",WESG 2018 World Finals
12/3/19,ALTERNATE aTTaX (7),Epsilon (16),"ovp
                      Overpass",ESEA MDL Season 30 Europe
12/3/19,Spirit (16),Virtus.pro (4),"d2
                      Dust2",ESEA MDL Season 30 Europe
12/3/19,Chiefs (6),Viva Algeria (16),"inf
                      Inferno",WESG 2018 World Finals
12/3/19,Chiefs (12),Viva Algeria (16),"nuke
                      Nuke",WESG 2018 World Finals
12/3/19,Russia (20),Panda (22),"ovp
                      Overpass",WESG 2018 World Finals
12/3/19,Panda (16),Russia (14),"trn
                      Train",WESG 2018 World Finals
12/3/19,Ukraine (16),ENZO (5),"mrg
                      Mirage",WESG 2018 World Finals
12/3/19,Ukraine (16),ENZO (7),"trn
                      Train",WESG 2018 World Finals
12/3/19,Movistar Riders (16),fnatic (13),"ovp
                      Overpass",WESG 2018 World Finals
12/3/19,Movistar Riders (5),fnatic (16),"inf
                      Inferno",WESG 2018 World Finals
12/3/19,5POWER (16),TNC (13),"d2
                      Dust2",WESG 2018 World Finals
12/3/19,TNC (16),5POWER (6),"inf
                      Inferno",WESG 2018 World Finals
12/3/19,Monolith (9),forZe (16),"trn
                      Train",CS.Money Premier by EM
12/3/19,forZe (14),Monolith (16),"nuke
                      Nuke",CS.Money Premier by EM
12/3/19,Monolith (13),forZe (16),"mrg
                      Mirage",CS.Money Premier by EM
12/3/19,Imperial (16),WARDELL N Friends (14),"mrg
                      Mirage",WESG 2018 World Finals
12/3/19,WARDELL N Friends (13),Imperial (16),"inf
                      Inferno",WESG 2018 World Finals
12/3/19,Chiefs (16),Altima (10),"mrg
                      Mirage",WESG 2018 World Finals
12/3/19,Altima (20),Chiefs (22),"ovp
                      Overpass",WESG 2018 World Finals
12/3/19,TNC (16),ENZO (6),"ovp
                      Overpass",WESG 2018 World Finals
12/3/19,ENZO (6),TNC (16),"inf
                      Inferno",WESG 2018 World Finals
12/3/19,Alpha Red (16),Viva Algeria (8),"inf
                      Inferno",WESG 2018 World Finals
12/3/19,Alpha Red (16),Viva Algeria (1),"ovp
                      Overpass",WESG 2018 World Finals
12/3/19,Fighting 4 Freedom (6),ORDER (16),"inf
                      Inferno",ESL Australia & NZ Championship Season 8
12/3/19,ORDER (16),Fighting 4 Freedom (0),"ovp
                      Overpass",ESL Australia & NZ Championship Season 8
12/3/19,Ukraine (16),5POWER (13),"d2
                      Dust2",WESG 2018 World Finals
12/3/19,5POWER (16),Ukraine (5),"mrg
                      Mirage",WESG 2018 World Finals
12/3/19,AVANT (16),Content (6),"inf
                      Inferno",ESEA MDL Season 30 Australia
12/3/19,Grayhound (16),Skyfire (4),"mrg
                      Mirage",ESEA MDL Season 30 Australia
12/3/19,Surge (16),ex-Caladrius (6),"trn
                      Train",ESEA MDL Season 30 Australia Relegation
12/3/19,Surge (14),ex-Caladrius (16),"mrg
                      Mirage",ESEA MDL Season 30 Australia Relegation
12/3/19,ex-Caladrius (15),Surge (19),"inf
                      Inferno",ESEA MDL Season 30 Australia Relegation
12/3/19,Windigo (16),fnatic (9),"ovp
                      Overpass",WESG 2018 World Finals
12/3/19,Windigo (8),fnatic (16),"inf
                      Inferno",WESG 2018 World Finals
12/3/19,Russia (16),Imperial (9),"mrg
                      Mirage",WESG 2018 World Finals
12/3/19,Imperial (18),Russia (22),"trn
                      Train",WESG 2018 World Finals
12/3/19,WARDELL N Friends (19),Panda (17),"mrg
                      Mirage",WESG 2018 World Finals
12/3/19,Panda (11),WARDELL N Friends (16),"d2
                      Dust2",WESG 2018 World Finals
12/3/19,Genuine (5),Grayhound (16),"ovp
                      Overpass",ESL Australia & NZ Championship Season 8
12/3/19,Grayhound (16),Genuine (8),"mrg
                      Mirage",ESL Australia & NZ Championship Season 8
12/3/19,5POWER (12),ENZO (16),"cch
                      Cache",WESG 2018 World Finals
12/3/19,5POWER (6),ENZO (16),"mrg
                      Mirage",WESG 2018 World Finals
12/3/19,TNC (14),Ukraine (16),"cch
                      Cache",WESG 2018 World Finals
12/3/19,TNC (14),Ukraine (16),"d2
                      Dust2",WESG 2018 World Finals
12/3/19,Alpha Red (10),Chiefs (16),"trn
                      Train",WESG 2018 World Finals
12/3/19,Alpha Red (16),Chiefs (7),"mrg
                      Mirage",WESG 2018 World Finals
12/3/19,Windigo (19),Movistar Riders (16),"mrg
                      Mirage",WESG 2018 World Finals
12/3/19,Windigo (16),Movistar Riders (4),"trn
                      Train",WESG 2018 World Finals
12/3/19,WARDELL N Friends (14),Russia (16),"mrg
                      Mirage",WESG 2018 World Finals
12/3/19,WARDELL N Friends (17),Russia (19),"d2
                      Dust2",WESG 2018 World Finals
12/3/19,Imperial (16),Panda (8),"mrg
                      Mirage",WESG 2018 World Finals
12/3/19,Imperial (9),Panda (16),"ovp
                      Overpass",WESG 2018 World Finals
12/3/19,Altima (17),Viva Algeria (19),"mrg
                      Mirage",WESG 2018 World Finals
12/3/19,Altima (12),Viva Algeria (16),"d2
                      Dust2",WESG 2018 World Finals
12/3/19,Infamous (17),iNTACT (19),"mrg
                      Mirage",ESEA MDL Season 30 North America
12/3/19,NRG (16),Spacestation (4),"d2
                      Dust2",ECS Season 7 North America Week 1
12/3/19,Spacestation (5),NRG (16),"mrg
                      Mirage",ECS Season 7 North America Week 1
12/3/19,Complexity (16),eUnited (6),"ovp
                      Overpass",ECS Season 7 North America Week 1
12/3/19,eUnited (14),Complexity (16),"inf
                      Inferno",ECS Season 7 North America Week 1
12/3/19,Complexity (11),eUnited (16),"nuke
                      Nuke",ECS Season 7 North America Week 1
12/3/19,MASSIVEimpact (6),FURIA (16),"ovp
                      Overpass",ESEA MDL Season 30 North America
11/3/19,Luminosity (22),INTZ (20),"trn
                      Train",ECS Season 7 North America Week 1
11/3/19,INTZ (13),Luminosity (16),"cch
                      Cache",ECS Season 7 North America Week 1
11/3/19,INTZ (16),Luminosity (7),"d2
                      Dust2",ECS Season 7 North America Week 1
11/3/19,Liquid (8),Rogue (16),"ovp
                      Overpass",ECS Season 7 North America Week 1
11/3/19,Liquid (16),Rogue (6),"d2
                      Dust2",ECS Season 7 North America Week 1
11/3/19,Rogue (16),Liquid (12),"nuke
                      Nuke",ECS Season 7 North America Week 1
11/3/19,FaZe (16),Virtus.pro (12),"cch
                      Cache",ECS Season 7 Europe Week 1
11/3/19,Virtus.pro (9),FaZe (16),"inf
                      Inferno",ECS Season 7 Europe Week 1
11/3/19,Virtus.pro (16),FaZe (5),"trn
                      Train",ECS Season 7 Europe Week 1
11/3/19,NiP (16),forZe (10),"d2
                      Dust2",ECS Season 7 Europe Week 1
11/3/19,NiP (16),forZe (9),"trn
                      Train",ECS Season 7 Europe Week 1
11/3/19,Chaos (14),Spirit (16),"inf
                      Inferno",ESEA MDL Season 30 Europe
11/3/19,Spirit (16),Uruguay (10),"inf
                      Inferno",ESEA MDL Season 30 Europe
11/3/19,forZe (16),ENCE (6),"ovp
                      Overpass",ESEA MDL Season 30 Europe
11/3/19,ALTERNATE aTTaX (16),Spirit (12),"ovp
                      Overpass",ESEA MDL Season 30 Europe
11/3/19,LDLC (4),Astralis (16),"nuke
                      Nuke",ECS Season 7 Europe Week 1
11/3/19,Astralis (16),LDLC (7),"d2
                      Dust2",ECS Season 7 Europe Week 1
11/3/19,North (8),AVANGAR (16),"mrg
                      Mirage",ECS Season 7 Europe Week 1
11/3/19,AVANGAR (14),North (16),"inf
                      Inferno",ECS Season 7 Europe Week 1
11/3/19,North (12),AVANGAR (16),"ovp
                      Overpass",ECS Season 7 Europe Week 1
11/3/19,FrostFire (5),Absolute (16),"inf
                      Inferno",WESG 2018 World Finals
11/3/19,FrostFire (16),Absolute (19),"cch
                      Cache",WESG 2018 World Finals
11/3/19,G2 (16),Revolution (1),"cch
                      Cache",WESG 2018 World Finals
11/3/19,G2 (16),Revolution (0),"d2
                      Dust2",WESG 2018 World Finals
11/3/19,Valiance (16),OpTic (10),"nuke
                      Nuke",WESG 2018 World Finals
11/3/19,Valiance (16),OpTic (13),"mrg
                      Mirage",WESG 2018 World Finals
11/3/19,Denial (16),NASR (5),"inf
                      Inferno",WESG 2018 World Finals
11/3/19,Denial (16),NASR (6),"trn
                      Train",WESG 2018 World Finals
11/3/19,Furious (8),Absolute (16),"d2
                      Dust2",WESG 2018 World Finals
11/3/19,Furious (20),Absolute (22),"cch
                      Cache",WESG 2018 World Finals
11/3/19,Off The Grid (7),Grayhound (16),"d2
                      Dust2",ESEA MDL Season 30 Australia
11/3/19,Valiance (16),Denial (3),"inf
                      Inferno",WESG 2018 World Finals
11/3/19,Valiance (16),Denial (4),"nuke
                      Nuke",WESG 2018 World Finals
11/3/19,Grayhound (16),Breakaway (8),"inf
                      Inferno",ESEA MDL Season 30 Australia
11/3/19,Singularity (6),G2 (16),"ovp
                      Overpass",WESG 2018 World Finals
11/3/19,G2 (16),Singularity (4),"cch
                      Cache",WESG 2018 World Finals
11/3/19,Off The Grid (5),Astral Influence (16),"mrg
                      Mirage",ESEA MDL Season 30 Australia
11/3/19,OpTic (16),NASR (12),"mrg
                      Mirage",WESG 2018 World Finals
11/3/19,OpTic (16),NASR (10),"ovp
                      Overpass",WESG 2018 World Finals
11/3/19,Grayhound (9),ORDER (16),"mrg
                      Mirage",ESEA MDL Season 30 Australia
11/3/19,AGO (12),MIBR (16),"trn
                      Train",WESG 2018 World Finals
11/3/19,MIBR (16),AGO (5),"nuke
                      Nuke",WESG 2018 World Finals
11/3/19,Furious (16),FrostFire (5),"d2
                      Dust2",WESG 2018 World Finals
11/3/19,FrostFire (16),Furious (19),"inf
                      Inferno",WESG 2018 World Finals
11/3/19,Denial (5),OpTic (16),"inf
                      Inferno",WESG 2018 World Finals
11/3/19,Denial (8),OpTic (16),"ovp
                      Overpass",WESG 2018 World Finals
11/3/19,Valiance (13),NASR (16),"inf
                      Inferno",WESG 2018 World Finals
11/3/19,Valiance (16),NASR (3),"nuke
                      Nuke",WESG 2018 World Finals
11/3/19,Singularity (16),Revolution (1),"d2
                      Dust2",WESG 2018 World Finals
11/3/19,Singularity (16),Revolution (2),"inf
                      Inferno",WESG 2018 World Finals
11/3/19,Jaguar (16),Niknexus (10),"cch
                      Cache",ESL Pro League Season 9 LatAm North Closed Qualifier
11/3/19,Jaguar (16),Niknexus (2),"inf
                      Inferno",ESL Pro League Season 9 LatAm North Closed Qualifier
11/3/19,Jaguar (8),Niknexus (16),"mrg
                      Mirage",ESL Pro League Season 9 LatAm North Closed Qualifier
11/3/19,Niknexus (16),Anunnaki (5),"mrg
                      Mirage",ESL Pro League Season 9 LatAm North Closed Qualifier
11/3/19,Anunnaki (9),Niknexus (16),"ovp
                      Overpass",ESL Pro League Season 9 LatAm North Closed Qualifier
11/3/19,INTZ (9),eUnited (16),"nuke
                      Nuke",DreamHack Open Rio 2019 North America Closed Qualifier
11/3/19,INTZ (14),eUnited (16),"ovp
                      Overpass",DreamHack Open Rio 2019 North America Closed Qualifier
11/3/19,eUnited (13),INTZ (16),"trn
                      Train",DreamHack Open Rio 2019 North America Closed Qualifier
10/3/19,MASSIVEimpact (16),The Quest (11),"cch
                      Cache",ECS Season 7 North America Pinnacle Cup
10/3/19,The Quest (8),MASSIVEimpact (16),"ovp
                      Overpass",ECS Season 7 North America Pinnacle Cup
10/3/19,The Quest (16),MASSIVEimpact (4),"inf
                      Inferno",ECS Season 7 North America Pinnacle Cup
10/3/19,Party Astronauts (16),Final Feature (13),"nuke
                      Nuke",ECS Season 7 North America Pinnacle Cup
10/3/19,Final Feature (5),Party Astronauts (16),"ovp
                      Overpass",ECS Season 7 North America Pinnacle Cup
10/3/19,WePlayGames (9),DETONA (16),"nuke
                      Nuke",Dell Gaming Liga Pro Season 1 - #3 MAR/19
10/3/19,WePlayGames (16),DETONA (19),"inf
                      Inferno",Dell Gaming Liga Pro Season 1 - #3 MAR/19
10/3/19,Swole Patrol (8),eUnited (16),"inf
                      Inferno",DreamHack Open Rio 2019 North America Closed Qualifier
10/3/19,eUnited (16),Swole Patrol (14),"d2
                      Dust2",DreamHack Open Rio 2019 North America Closed Qualifier
10/3/19,INTZ (16),TeamOne (3),"trn
                      Train",DreamHack Open Rio 2019 North America Closed Qualifier
10/3/19,INTZ (7),TeamOne (16),"inf
                      Inferno",DreamHack Open Rio 2019 North America Closed Qualifier
10/3/19,TeamOne (7),INTZ (16),"cch
                      Cache",DreamHack Open Rio 2019 North America Closed Qualifier
10/3/19,Jaguar (16),Niknexus (14),"trn
                      Train",ESL Pro League Season 9 LatAm North Closed Qualifier
10/3/19,Jaguar (25),Niknexus (22),"ovp
                      Overpass",ESL Pro League Season 9 LatAm North Closed Qualifier
10/3/19,AurumFive (12),Nobodys (16),"cch
                      Cache",HealthPoint Cup
10/3/19,AurumFive (14),Nobodys (16),"ovp
                      Overpass",HealthPoint Cup
10/3/19,Nobodys (13),AurumFive (16),"d2
                      Dust2",HealthPoint Cup
10/3/19,tomorrow will be better (16),Venkonas (6),"nuke
                      Nuke",HealthPoint Cup
10/3/19,tomorrow will be better (16),Venkonas (7),"trn
                      Train",HealthPoint Cup
10/3/19,Spirit (7),Epsilon (16),"mrg
                      Mirage",ESEA MDL Season 30 Europe
10/3/19,Swole Patrol (16),Spacestation (5),"trn
                      Train",DreamHack Open Rio 2019 North America Closed Qualifier
10/3/19,Spacestation (14),Swole Patrol (16),"mrg
                      Mirage",DreamHack Open Rio 2019 North America Closed Qualifier
10/3/19,LiViD (8),eUnited (16),"trn
                      Train",DreamHack Open Rio 2019 North America Closed Qualifier
10/3/19,eUnited (16),LiViD (13),"ovp
                      Overpass",DreamHack Open Rio 2019 North America Closed Qualifier
10/3/19,iNTACT (11),INTZ (16),"cch
                      Cache",DreamHack Open Rio 2019 North America Closed Qualifier
10/3/19,INTZ (16),iNTACT (7),"nuke
                      Nuke",DreamHack Open Rio 2019 North America Closed Qualifier
10/3/19,FULL SEND (1),TeamOne (16),"inf
                      Inferno",DreamHack Open Rio 2019 North America Closed Qualifier
10/3/19,TeamOne (16),FULL SEND (2),"d2
                      Dust2",DreamHack Open Rio 2019 North America Closed Qualifier
10/3/19,Akopalipsa (12),forZe (16),"inf
                      Inferno",NoxFire League Season 2
10/3/19,Venkonas (19),Nobodys (16),"trn
                      Train",HealthPoint Cup
10/3/19,Venkonas (16),Nobodys (5),"ovp
                      Overpass",HealthPoint Cup
10/3/19,tomorrow will be better (16),AurumFive (13),"ovp
                      Overpass",HealthPoint Cup
10/3/19,AurumFive (5),tomorrow will be better (16),"trn
                      Train",HealthPoint Cup
10/3/19,Zorka (16),FCDB (5),"trn
                      Train",META '19
10/3/19,Zorka (13),FCDB (16),"d2
                      Dust2",META '19
10/3/19,FCDB (9),Zorka (16),"ovp
                      Overpass",META '19
