"","date","team1","team2","map","event"
"5964","30/5/19","Ignis (16)","Absolute (13)","d2
                      Dust2","Asia Minor East Asia Closed Qualifier - StarLadder Major 2019"
"5965","30/5/19","Mazaalai (13)","MVP PK (16)","d2
                      Dust2","Asia Minor East Asia Closed Qualifier - StarLadder Major 2019"
"5966","30/5/19","MVP PK (16)","Mazaalai (2)","mrg
                      Mirage","Asia Minor East Asia Closed Qualifier - StarLadder Major 2019"
"5967","30/5/19","Winstrike (14)","Tricked (16)","nuke
                      Nuke","UCC Summer Smash"
"5968","30/5/19","Winstrike (4)","Tricked (16)","mrg
                      Mirage","UCC Summer Smash"
"5969","30/5/19","Grayhound (16)","Justice (8)","d2
                      Dust2","ESEA MDL Season 31 Australia"
"5970","30/5/19","MC (16)","Rooster (7)","mrg
                      Mirage","ESEA MDL Season 31 Australia"
"5971","30/5/19","ex-Athletico (16)","SYF (13)","mrg
                      Mirage","ESEA MDL Season 31 Australia"
"5972","30/5/19","Chiefs (16)","Jade (4)","inf
                      Inferno","ESEA MDL Season 31 Australia"
"5973","30/5/19","Updraft (14)","Absolute (16)","trn
                      Train","Asia Minor East Asia Closed Qualifier - StarLadder Major 2019"
"5974","30/5/19","Absolute (16)","Updraft (11)","ovp
                      Overpass","Asia Minor East Asia Closed Qualifier - StarLadder Major 2019"
"5975","30/5/19","MC (16)","Downfall (5)","trn
                      Train","ESEA MDL Season 31 Australia"
"5976","30/5/19","TheMongolz (17)","Ignis (19)","nuke
                      Nuke","Asia Minor East Asia Closed Qualifier - StarLadder Major 2019"
"5977","30/5/19","Ignis (16)","TheMongolz (13)","trn
                      Train","Asia Minor East Asia Closed Qualifier - StarLadder Major 2019"
"5978","30/5/19","Singularity (16)","Ascent (3)","nuke
                      Nuke","ESEA MDL Season 31 North America"
"5979","30/5/19","The Quest (14)","Party Astronauts (16)","nuke
                      Nuke","Americas Minor North America Open Qualifier 2 - StarLadder Major 2019"
"5980","30/5/19","The Quest (16)","Party Astronauts (6)","mrg
                      Mirage","Americas Minor North America Open Qualifier 2 - StarLadder Major 2019"
"5981","30/5/19","The Quest (14)","Party Astronauts (16)","ovp
                      Overpass","Americas Minor North America Open Qualifier 2 - StarLadder Major 2019"
"5982","30/5/19","Bad News Bears (13)","New Identity (16)","inf
                      Inferno","Americas Minor North America Open Qualifier 2 - StarLadder Major 2019"
"5983","30/5/19","Bad News Bears (11)","New Identity (16)","ovp
                      Overpass","Americas Minor North America Open Qualifier 2 - StarLadder Major 2019"
"5984","30/5/19","INTZ (16)","Peeker's Advantage (11)","mrg
                      Mirage","IEM Chicago 2019 North America Open Qualifier #1"
"5985","30/5/19","Luminosity (16)","Polar Ace (6)","mrg
                      Mirage","IEM Chicago 2019 North America Open Qualifier #1"
"5986","30/5/19","Grizzlys (10)","Chris and the boys (16)","ovp
                      Overpass","IEM Chicago 2019 North America Open Qualifier #1"
"5987","30/5/19","TeamOne (13)","ATK (16)","inf
                      Inferno","IEM Chicago 2019 North America Open Qualifier #1"
"5988","29/5/19","fnatic (12)","FURIA (16)","nuke
                      Nuke","DreamHack Masters Dallas 2019"
"5989","29/5/19","FURIA (16)","fnatic (12)","mrg
                      Mirage","DreamHack Masters Dallas 2019"
"5990","29/5/19","Windigo (22)","North (25)","d2
                      Dust2","DreamHack Masters Dallas 2019"
"5991","29/5/19","North (16)","Windigo (3)","ovp
                      Overpass","DreamHack Masters Dallas 2019"
"5992","29/5/19","The Quest (19)","Good Game PR (16)","nuke
                      Nuke","Americas Minor North America Open Qualifier 2 - StarLadder Major 2019"
"5993","29/5/19","Bad News Bears (19)","Rugratz (17)","inf
                      Inferno","Americas Minor North America Open Qualifier 2 - StarLadder Major 2019"
"5994","29/5/19","Party Astronauts (16)","New England Whalers (1)","trn
                      Train","Americas Minor North America Open Qualifier 2 - StarLadder Major 2019"
"5995","29/5/19","New Identity (16)","Lowkey (3)","ovp
                      Overpass","Americas Minor North America Open Qualifier 2 - StarLadder Major 2019"
"5996","29/5/19","DETONA (16)","RED Canids (4)","trn
                      Train","Brasil Game Show 2019"
"5997","29/5/19","Tribo Fu (16)","paiN (13)","inf
                      Inferno","Brasil Game Show 2019"
"5998","29/5/19","Reapers (7)","Santos (16)","mrg
                      Mirage","Brasil Game Show 2019"
"5999","29/5/19","ETHEREAL (16)","The Quest (19)","nuke
                      Nuke","Americas Minor North America Open Qualifier 2 - StarLadder Major 2019"
"6000","29/5/19","New England Whalers (16)","Bust Down (14)","mrg
                      Mirage","Americas Minor North America Open Qualifier 2 - StarLadder Major 2019"
"6001","29/5/19","Good Game PR (16)","absolute mad lads (13)","ovp
                      Overpass","Americas Minor North America Open Qualifier 2 - StarLadder Major 2019"
"6002","29/5/19","Thunder Logic (3)","Party Astronauts (16)","ovp
                      Overpass","Americas Minor North America Open Qualifier 2 - StarLadder Major 2019"
"6003","29/5/19","Rugratz (16)","No Cap (10)","inf
                      Inferno","Americas Minor North America Open Qualifier 2 - StarLadder Major 2019"
"6004","29/5/19","shoot back (19)","Bad News Bears (22)","mrg
                      Mirage","Americas Minor North America Open Qualifier 2 - StarLadder Major 2019"
"6005","29/5/19","LiviD (6)","New Identity (16)","mrg
                      Mirage","Americas Minor North America Open Qualifier 2 - StarLadder Major 2019"
"6006","29/5/19","Lowkey (16)","Glizzy Gang (2)","nuke
                      Nuke","Americas Minor North America Open Qualifier 2 - StarLadder Major 2019"
"6007","29/5/19","ENCE (16)","G2 (6)","nuke
                      Nuke","DreamHack Masters Dallas 2019"
"6008","29/5/19","ENCE (8)","G2 (16)","d2
                      Dust2","DreamHack Masters Dallas 2019"
"6009","29/5/19","G2 (11)","ENCE (16)","trn
                      Train","DreamHack Masters Dallas 2019"
"6010","29/5/19","Vitality (16)","NiP (14)","d2
                      Dust2","DreamHack Masters Dallas 2019"
"6011","29/5/19","Vitality (16)","NiP (8)","ovp
                      Overpass","DreamHack Masters Dallas 2019"
"6012","29/5/19","W7M (22)","RED Canids (25)","ovp
                      Overpass","Brasil Game Show 2019"
"6013","29/5/19","Chaos (10)","Maknitude (16)","inf
                      Inferno","Europe Minor Open Qualifier 2 - StarLadder Major 2019"
"6014","29/5/19","Maknitude (11)","Chaos (16)","ovp
                      Overpass","Europe Minor Open Qualifier 2 - StarLadder Major 2019"
"6015","29/5/19","Maknitude (16)","Chaos (11)","trn
                      Train","Europe Minor Open Qualifier 2 - StarLadder Major 2019"
"6016","29/5/19","Epsilon (17)","GamerLegion (19)","d2
                      Dust2","Europe Minor Open Qualifier 2 - StarLadder Major 2019"
"6017","29/5/19","Epsilon (8)","GamerLegion (16)","inf
                      Inferno","Europe Minor Open Qualifier 2 - StarLadder Major 2019"
"6018","29/5/19","NRG (16)","Cloud9 (3)","mrg
                      Mirage","DreamHack Masters Dallas 2019"
"6019","29/5/19","Cloud9 (11)","NRG (16)","trn
                      Train","DreamHack Masters Dallas 2019"
"6020","29/5/19","NRG (10)","Cloud9 (16)","d2
                      Dust2","DreamHack Masters Dallas 2019"
"6021","29/5/19","Isurus (5)","Renegades (16)","inf
                      Inferno","DreamHack Masters Dallas 2019"
"6022","29/5/19","Isurus (4)","Renegades (16)","mrg
                      Mirage","DreamHack Masters Dallas 2019"
"6023","29/5/19","Isurus (16)","Renegades (13)","d2
                      Dust2","DreamHack Masters Dallas 2019"
"6024","29/5/19","Sprout (16)","forZe (10)","mrg
                      Mirage","ESEA MDL Season 31 Europe"
"6025","29/5/19","STEP (7)","Maknitude (16)","mrg
                      Mirage","Europe Minor Open Qualifier 2 - StarLadder Major 2019"
"6026","29/5/19","GamerLegion (16)","Nexus Academy (5)","mrg
                      Mirage","Europe Minor Open Qualifier 2 - StarLadder Major 2019"
"6027","29/5/19","Chaos (16)","FrenchFrogs (12)","inf
                      Inferno","Europe Minor Open Qualifier 2 - StarLadder Major 2019"
"6028","29/5/19","Epsilon (16)","MegaWonsz9 (7)","trn
                      Train","Europe Minor Open Qualifier 2 - StarLadder Major 2019"
"6029","29/5/19","Maknitude (16)","LDLC (8)","nuke
                      Nuke","Europe Minor Open Qualifier 2 - StarLadder Major 2019"
"6030","29/5/19","Youngsters (5)","Chaos (16)","inf
                      Inferno","Europe Minor Open Qualifier 2 - StarLadder Major 2019"
"6031","29/5/19","MegaWonsz9 (16)","Lilmix (3)","mrg
                      Mirage","Europe Minor Open Qualifier 2 - StarLadder Major 2019"
"6032","29/5/19","GamerLegion (16)","Giants (13)","d2
                      Dust2","Europe Minor Open Qualifier 2 - StarLadder Major 2019"
"6033","29/5/19","BuzzKill (14)","Nexus Academy (16)","d2
                      Dust2","Europe Minor Open Qualifier 2 - StarLadder Major 2019"
"6034","29/5/19","STEP (16)","AGO (13)","trn
                      Train","Europe Minor Open Qualifier 2 - StarLadder Major 2019"
"6035","29/5/19","x-kom (9)","Epsilon (16)","mrg
                      Mirage","Europe Minor Open Qualifier 2 - StarLadder Major 2019"
"6036","29/5/19","FrenchFrogs (16)","Endpoint (5)","mrg
                      Mirage","Europe Minor Open Qualifier 2 - StarLadder Major 2019"
"6037","29/5/19","Izako Boars (20)","forZe (22)","inf
                      Inferno","ESEA MDL Season 31 Europe"
"6038","29/5/19","ALTERNATE aTTaX (10)","Spirit (16)","vtg
                      Vertigo","ESEA MDL Season 31 Europe"
"6039","29/5/19","forZe (6)","Epsilon (16)","trn
                      Train","ESEA MDL Season 31 Europe"
"6040","29/5/19","Ignis (7)","MVP PK (16)","ovp
                      Overpass","Asia Minor East Asia Closed Qualifier - StarLadder Major 2019"
"6041","29/5/19","MVP PK (16)","Ignis (8)","mrg
                      Mirage","Asia Minor East Asia Closed Qualifier - StarLadder Major 2019"
"6042","29/5/19","Updraft (16)","D13 (7)","inf
                      Inferno","Asia Minor East Asia Closed Qualifier - StarLadder Major 2019"
"6043","29/5/19","Updraft (16)","D13 (5)","nuke
                      Nuke","Asia Minor East Asia Closed Qualifier - StarLadder Major 2019"
"6044","29/5/19","Chiefs (16)","ex-Athletico (8)","trn
                      Train","ESEA MDL Season 31 Australia"
"6045","29/5/19","Nemiga (9)","Nordavind (16)","ovp
                      Overpass","UCC Summer Smash"
"6046","29/5/19","Nordavind (16)","Nemiga (11)","inf
                      Inferno","UCC Summer Smash"
"6047","29/5/19","ex-Athletico (16)","Rooster (9)","inf
                      Inferno","ESEA MDL Season 31 Australia"
"6048","29/5/19","Mazaalai (16)","Absolute (10)","inf
                      Inferno","Asia Minor East Asia Closed Qualifier - StarLadder Major 2019"
"6049","29/5/19","Mazaalai (19)","Absolute (16)","d2
                      Dust2","Asia Minor East Asia Closed Qualifier - StarLadder Major 2019"
"6050","29/5/19","ahq (10)","TheMongolz (16)","inf
                      Inferno","Asia Minor East Asia Closed Qualifier - StarLadder Major 2019"
"6051","29/5/19","ahq (16)","TheMongolz (19)","mrg
                      Mirage","Asia Minor East Asia Closed Qualifier - StarLadder Major 2019"
"6052","29/5/19","Updraft (6)","MVP PK (16)","d2
                      Dust2","Asia Minor East Asia Closed Qualifier - StarLadder Major 2019"
"6053","29/5/19","MVP PK (16)","Updraft (9)","mrg
                      Mirage","Asia Minor East Asia Closed Qualifier - StarLadder Major 2019"
"6054","29/5/19","D13 (2)","Ignis (16)","mrg
                      Mirage","Asia Minor East Asia Closed Qualifier - StarLadder Major 2019"
"6055","29/5/19","Ignis (16)","D13 (7)","trn
                      Train","Asia Minor East Asia Closed Qualifier - StarLadder Major 2019"
"6056","29/5/19","TheMongolz (12)","Mazaalai (16)","ovp
                      Overpass","Asia Minor East Asia Closed Qualifier - StarLadder Major 2019"
"6057","29/5/19","TheMongolz (16)","Mazaalai (13)","mrg
                      Mirage","Asia Minor East Asia Closed Qualifier - StarLadder Major 2019"
"6058","29/5/19","Mazaalai (16)","TheMongolz (12)","inf
                      Inferno","Asia Minor East Asia Closed Qualifier - StarLadder Major 2019"
"6059","29/5/19","ahq (14)","Absolute (16)","mrg
                      Mirage","Asia Minor East Asia Closed Qualifier - StarLadder Major 2019"
"6060","29/5/19","ahq (11)","Absolute (16)","d2
                      Dust2","Asia Minor East Asia Closed Qualifier - StarLadder Major 2019"
"6061","29/5/19","aiMMode (6)","Volta7 (16)","nuke
                      Nuke","Aorus League 2019 #2 Northern Cone"
"6062","29/5/19","aiMMode (3)","Volta7 (16)","ovp
                      Overpass","Aorus League 2019 #2 Northern Cone"
"6063","29/5/19","Mythic (4)","Ascent (16)","inf
                      Inferno","ESEA MDL Season 31 North America"
"6064","29/5/19","Prospects (5)","TeamOne (16)","trn
                      Train","ESEA MDL Season 31 North America"
"6065","29/5/19","FaZe (16)","NiP (7)","nuke
                      Nuke","DreamHack Masters Dallas 2019"
"6066","29/5/19","FaZe (16)","NiP (6)","d2
                      Dust2","DreamHack Masters Dallas 2019"
"6067","29/5/19","The Quest (16)","Mythic (11)","inf
                      Inferno","ESEA MDL Season 31 North America"
"6068","29/5/19","TeamOne (8)","Thunder Logic (16)","trn
                      Train","ESEA MDL Season 31 North America"
"6069","29/5/19","TYLOO (4)","Windigo (16)","ovp
                      Overpass","DreamHack Masters Dallas 2019"
"6070","29/5/19","Windigo (16)","TYLOO (9)","inf
                      Inferno","DreamHack Masters Dallas 2019"
"6071","29/5/19","ATK (4)","Singularity (16)","inf
                      Inferno","ESEA MDL Season 31 North America"
"6072","28/5/19","North (12)","Liquid (16)","mrg
                      Mirage","DreamHack Masters Dallas 2019"
"6073","28/5/19","Liquid (16)","North (11)","nuke
                      Nuke","DreamHack Masters Dallas 2019"
"6074","28/5/19","Vitality (16)","Lucid Dream (1)","nuke
                      Nuke","DreamHack Masters Dallas 2019"
"6075","28/5/19","Lucid Dream (5)","Vitality (16)","d2
                      Dust2","DreamHack Masters Dallas 2019"
"6076","28/5/19","Cloud9 (7)","fnatic (16)","trn
                      Train","DreamHack Masters Dallas 2019"
"6077","28/5/19","FURIA (16)","NRG (7)","ovp
                      Overpass","DreamHack Masters Dallas 2019"
"6078","28/5/19","Redemption POA (4)","DETONA (16)","mrg
                      Mirage","Brasil Game Show 2019"
"6079","28/5/19","W7M (9)","paiN (16)","inf
                      Inferno","Aorus League 2019 #2 Brazil"
"6080","28/5/19","W7M (11)","paiN (16)","vtg
                      Vertigo","Aorus League 2019 #2 Brazil"
"6081","28/5/19","W7M (16)","paiN (3)","nuke
                      Nuke","Aorus League 2019 #2 Brazil"
"6082","28/5/19","G2 (19)","Renegades (17)","trn
                      Train","DreamHack Masters Dallas 2019"
"6083","28/5/19","ENCE (16)","Isurus (4)","inf
                      Inferno","DreamHack Masters Dallas 2019"
"6084","28/5/19","FaZe (16)","Windigo (7)","d2
                      Dust2","DreamHack Masters Dallas 2019"
"6085","28/5/19","TYLOO (13)","NiP (16)","d2
                      Dust2","DreamHack Masters Dallas 2019"
"6086","28/5/19","Energy (16)","Goliath (11)","trn
                      Train","Asia Minor CSA Closed Qualifier - StarLadder Major 2019"
"6087","28/5/19","Goliath (16)","Energy (5)","nuke
                      Nuke","Asia Minor CSA Closed Qualifier - StarLadder Major 2019"
"6088","28/5/19","Energy (16)","Goliath (13)","inf
                      Inferno","Asia Minor CSA Closed Qualifier - StarLadder Major 2019"
"6089","28/5/19","Vitality (14)","North (16)","ovp
                      Overpass","DreamHack Masters Dallas 2019"
"6090","28/5/19","Lucid Dream (7)","Liquid (16)","d2
                      Dust2","DreamHack Masters Dallas 2019"
"6091","28/5/19","Warthox (16)","HealthPoint (6)","inf
                      Inferno","CIS Minor Open Qualifier 2 - StarLadder Major 2019"
"6092","28/5/19","HealthPoint (5)","Warthox (16)","nuke
                      Nuke","CIS Minor Open Qualifier 2 - StarLadder Major 2019"
"6093","28/5/19","HealthPoint (16)","Warthox (14)","d2
                      Dust2","CIS Minor Open Qualifier 2 - StarLadder Major 2019"
"6094","28/5/19","NorBant (2)","NOTBAD (16)","d2
                      Dust2","CIS Minor Open Qualifier 2 - StarLadder Major 2019"
"6095","28/5/19","NorBant (11)","NOTBAD (16)","mrg
                      Mirage","CIS Minor Open Qualifier 2 - StarLadder Major 2019"
"6096","28/5/19","HealthPoint (16)","NONAME (13)","inf
                      Inferno","CIS Minor Open Qualifier 2 - StarLadder Major 2019"
"6097","28/5/19","NOTBAD (16)","LOG (14)","mrg
                      Mirage","CIS Minor Open Qualifier 2 - StarLadder Major 2019"
"6098","28/5/19","S (14)","NorBant (16)","mrg
                      Mirage","CIS Minor Open Qualifier 2 - StarLadder Major 2019"
"6099","28/5/19","buaksib (14)","Warthox (16)","inf
                      Inferno","CIS Minor Open Qualifier 2 - StarLadder Major 2019"
"6100","28/5/19","Energy (16)","Sinister5 (6)","ovp
                      Overpass","Asia Minor CSA Closed Qualifier - StarLadder Major 2019"
"6101","28/5/19","Sinister5 (13)","Energy (16)","trn
                      Train","Asia Minor CSA Closed Qualifier - StarLadder Major 2019"
"6102","28/5/19","DINQ (11)","Justice (16)","mrg
                      Mirage","ESEA MDL Season 31 Australia"
"6103","28/5/19","Chaos (16)","Virtus.pro (11)","d2
                      Dust2","UCC Summer Smash"
"6104","28/5/19","Virtus.pro (13)","Chaos (16)","trn
                      Train","UCC Summer Smash"
"6105","28/5/19","Bad News Bears (16)","Variance (2)","ovp
                      Overpass","ESEA MDL Season 31 North America"
"6106","28/5/19","low mangoes (8)","Infinity (16)","mrg
                      Mirage","Aorus League 2019 #2 Northern Cone"
"6107","28/5/19","low mangoes (4)","Infinity (16)","trn
                      Train","Aorus League 2019 #2 Northern Cone"
"6108","28/5/19","Bad News Bears (16)","Thunder Logic (3)","inf
                      Inferno","ESEA MDL Season 31 North America"
"6109","28/5/19","ATK (16)","BLITZKRIEG (13)","d2
                      Dust2","ESEA MDL Season 31 North America"
"6110","27/5/19","Inflames (12)","W7M (16)","mrg
                      Mirage","Aorus League 2019 #2 Brazil"
"6111","27/5/19","Inflames (8)","W7M (16)","ovp
                      Overpass","Aorus League 2019 #2 Brazil"
"6112","27/5/19","W7M (14)","Inflames (16)","inf
                      Inferno","Aorus League 2019 #2 Brazil"
"6113","27/5/19","TOLY (6)","Sinister5 (16)","d2
                      Dust2","Asia Minor CSA Closed Qualifier - StarLadder Major 2019"
"6114","27/5/19","Sinister5 (16)","TOLY (13)","trn
                      Train","Asia Minor CSA Closed Qualifier - StarLadder Major 2019"
"6115","27/5/19","Epsilon (16)","expert (8)","ovp
                      Overpass","ESEA MDL Season 31 Europe"
"6116","27/5/19","Goliath (16)","Energy (8)","ovp
                      Overpass","Asia Minor CSA Closed Qualifier - StarLadder Major 2019"
"6117","27/5/19","Energy (8)","Goliath (16)","nuke
                      Nuke","Asia Minor CSA Closed Qualifier - StarLadder Major 2019"
"6118","27/5/19","Izako Boars (12)","Chaos (16)","inf
                      Inferno","GameAgents League Season 3"
"6119","27/5/19","Virtus.pro (13)","Valiance (16)","d2
                      Dust2","ESEA MDL Season 31 Europe"
"6120","27/5/19","AGO (13)","HAVU (16)","trn
                      Train","ESEA MDL Season 31 Europe"
"6121","27/5/19","Chaos (11)","expert (16)","trn
                      Train","ESEA MDL Season 31 Europe"
"6122","27/5/19","Big 5 (10)","Sinister5 (16)","ovp
                      Overpass","Asia Minor CSA Closed Qualifier - StarLadder Major 2019"
"6123","27/5/19","Sinister5 (7)","Big 5 (16)","mrg
                      Mirage","Asia Minor CSA Closed Qualifier - StarLadder Major 2019"
"6124","27/5/19","Big 5 (11)","Sinister5 (16)","d2
                      Dust2","Asia Minor CSA Closed Qualifier - StarLadder Major 2019"
"6125","27/5/19","GamerLegion (12)","Movistar Riders (16)","inf
                      Inferno","ESEA MDL Season 31 Europe"
"6126","27/5/19","Ancient (16)","SJ (9)","nuke
                      Nuke","GameAgents League Season 3"
"6127","27/5/19","Syman (7)","expert (16)","mrg
                      Mirage","GameAgents League Season 3"
"6128","27/5/19","ALTERNATE aTTaX (17)","Virtus.pro (19)","trn
                      Train","ESEA MDL Season 31 Europe"
"6129","27/5/19","TOLY (19)","Exdee (16)","trn
                      Train","Asia Minor CSA Closed Qualifier - StarLadder Major 2019"
"6130","27/5/19","Exdee (9)","TOLY (16)","d2
                      Dust2","Asia Minor CSA Closed Qualifier - StarLadder Major 2019"
"6131","27/5/19","Exdee (16)","TOLY (10)","mrg
                      Mirage","Asia Minor CSA Closed Qualifier - StarLadder Major 2019"
"6132","27/5/19","ORDER (16)","Athletico (2)","nuke
                      Nuke","ESEA MDL Season 31 Australia"
"6133","27/5/19","Ancient (13)","x-kom (16)","mrg
                      Mirage","UCC Summer Smash"
"6134","27/5/19","Ancient (16)","x-kom (11)","ovp
                      Overpass","UCC Summer Smash"
"6135","27/5/19","Ancient (11)","x-kom (16)","nuke
                      Nuke","UCC Summer Smash"
"6136","27/5/19","ORDER (16)","rewound (13)","inf
                      Inferno","ESEA MDL Season 31 Australia"
"6137","27/5/19","Chiefs (16)","SYF (13)","inf
                      Inferno","ESEA MDL Season 31 Australia"
"6138","27/5/19","Genuine (8)","ORDER (16)","nuke
                      Nuke","ESEA MDL Season 31 Australia"
"6139","27/5/19","Grayhound (16)","rewound (6)","mrg
                      Mirage","ESEA MDL Season 31 Australia"
"6140","27/5/19","TeamOne (19)","Good Game PR (16)","ovp
                      Overpass","Americas Minor North America Open Qualifier 1 - StarLadder Major 2019"
"6141","27/5/19","Good Game PR (5)","TeamOne (16)","trn
                      Train","Americas Minor North America Open Qualifier 1 - StarLadder Major 2019"
"6142","26/5/19","The Quest (5)","Lazarus (16)","nuke
                      Nuke","Americas Minor North America Open Qualifier 1 - StarLadder Major 2019"
"6143","26/5/19","Lazarus (16)","The Quest (14)","d2
                      Dust2","Americas Minor North America Open Qualifier 1 - StarLadder Major 2019"
"6144","26/5/19","Vitality (16)","Liquid (13)","ovp
                      Overpass","cs_summit 4"
"6145","26/5/19","Vitality (16)","Liquid (9)","nuke
                      Nuke","cs_summit 4"
"6146","26/5/19","Peeker's Advantage (11)","Good Game PR (16)","inf
                      Inferno","Americas Minor North America Open Qualifier 1 - StarLadder Major 2019"
"6147","26/5/19","The Quest (16)","Lowkey (8)","ovp
                      Overpass","Americas Minor North America Open Qualifier 1 - StarLadder Major 2019"
"6148","26/5/19","Lazarus (16)","Sadbots (8)","nuke
                      Nuke","Americas Minor North America Open Qualifier 1 - StarLadder Major 2019"
"6149","26/5/19","New Identity (20)","TeamOne (22)","ovp
                      Overpass","Americas Minor North America Open Qualifier 1 - StarLadder Major 2019"
"6150","26/5/19","The Quest (16)","fulfill (9)","nuke
                      Nuke","Americas Minor North America Open Qualifier 1 - StarLadder Major 2019"
"6151","26/5/19","Thunder Logic (12)","Sadbots (16)","inf
                      Inferno","Americas Minor North America Open Qualifier 1 - StarLadder Major 2019"
"6152","26/5/19","Royal (9)","Good Game PR (16)","trn
                      Train","Americas Minor North America Open Qualifier 1 - StarLadder Major 2019"
"6153","26/5/19","New England Whalers (8)","TeamOne (16)","trn
                      Train","Americas Minor North America Open Qualifier 1 - StarLadder Major 2019"
"6154","26/5/19","Lowkey (16)","Infinity (4)","nuke
                      Nuke","Americas Minor North America Open Qualifier 1 - StarLadder Major 2019"
"6155","26/5/19","Lazarus (16)","Big Frames (9)","inf
                      Inferno","Americas Minor North America Open Qualifier 1 - StarLadder Major 2019"
"6156","26/5/19","New Identity (16)","Onyx (4)","mrg
                      Mirage","Americas Minor North America Open Qualifier 1 - StarLadder Major 2019"
"6157","26/5/19","NRG (8)","Liquid (16)","ovp
                      Overpass","cs_summit 4"
"6158","26/5/19","NRG (8)","Liquid (16)","mrg
                      Mirage","cs_summit 4"
"6159","26/5/19","Sinister5 (16)","ViNCO (9)","mrg
                      Mirage","Asia Minor CSA Closed Qualifier - StarLadder Major 2019"
"6160","26/5/19","Sinister5 (16)","ViNCO (6)","inf
                      Inferno","Asia Minor CSA Closed Qualifier - StarLadder Major 2019"
"6161","26/5/19","TOLY (11)","Goliath (16)","d2
                      Dust2","Asia Minor CSA Closed Qualifier - StarLadder Major 2019"
"6162","26/5/19","Goliath (16)","TOLY (6)","inf
                      Inferno","Asia Minor CSA Closed Qualifier - StarLadder Major 2019"
"6163","26/5/19","Apeks (16)","Nordavind (9)","mrg
                      Mirage","Telia League Spring 2019"
"6164","26/5/19","Apeks (19)","Nordavind (16)","ovp
                      Overpass","Telia League Spring 2019"
"6165","26/5/19","Nordavind (16)","Apeks (5)","inf
                      Inferno","Telia League Spring 2019"
"6166","26/5/19","W7M (16)","DETONA (4)","inf
                      Inferno","ESL LA League Season 4 Finals"
"6167","26/5/19","DETONA (11)","W7M (16)","nuke
                      Nuke","ESL LA League Season 4 Finals"
"6168","26/5/19","Sprout (16)","Epsilon (0)","trn
                      Train","Europe Minor Open Qualifier 1 - StarLadder Major 2019"
"6169","26/5/19","Epsilon (12)","Sprout (16)","ovp
                      Overpass","Europe Minor Open Qualifier 1 - StarLadder Major 2019"
"6170","26/5/19","Epsilon (16)","Sprout (14)","nuke
                      Nuke","Europe Minor Open Qualifier 1 - StarLadder Major 2019"
"6171","26/5/19","PACT (6)","NoChance (16)","nuke
                      Nuke","Europe Minor Open Qualifier 1 - StarLadder Major 2019"
"6172","26/5/19","NoChance (16)","PACT (14)","d2
                      Dust2","Europe Minor Open Qualifier 1 - StarLadder Major 2019"
"6173","26/5/19","NoChance (16)","Virtus.pro (11)","inf
                      Inferno","Europe Minor Open Qualifier 1 - StarLadder Major 2019"
"6174","26/5/19","Sprout (16)","Chaos (14)","mrg
                      Mirage","Europe Minor Open Qualifier 1 - StarLadder Major 2019"
"6175","26/5/19","Ladon (8)","Exdee (16)","trn
                      Train","Asia Minor CSA Closed Qualifier - StarLadder Major 2019"
"6176","26/5/19","Exdee (16)","Ladon (9)","d2
                      Dust2","Asia Minor CSA Closed Qualifier - StarLadder Major 2019"
"6177","26/5/19","Ladon (16)","Exdee (11)","mrg
                      Mirage","Asia Minor CSA Closed Qualifier - StarLadder Major 2019"
"6178","26/5/19","AGO (14)","PACT (16)","inf
                      Inferno","Europe Minor Open Qualifier 1 - StarLadder Major 2019"
"6179","26/5/19","Epsilon (16)","Denzaaaa (10)","mrg
                      Mirage","Europe Minor Open Qualifier 1 - StarLadder Major 2019"
"6180","26/5/19","Energy (16)","Big 5 (3)","ovp
                      Overpass","Asia Minor CSA Closed Qualifier - StarLadder Major 2019"
"6181","26/5/19","Energy (9)","Big 5 (16)","d2
                      Dust2","Asia Minor CSA Closed Qualifier - StarLadder Major 2019"
"6182","26/5/19","Energy (22)","Big 5 (19)","inf
                      Inferno","Asia Minor CSA Closed Qualifier - StarLadder Major 2019"
"6183","26/5/19","ENCE (15)","Vitality (19)","inf
                      Inferno","cs_summit 4"
"6184","26/5/19","ENCE (8)","Vitality (16)","ovp
                      Overpass","cs_summit 4"
"6185","26/5/19","Vitality (14)","ENCE (16)","mrg
                      Mirage","cs_summit 4"
"6186","26/5/19","NASR (14)","FFAmix (16)","inf
                      Inferno","Asia Minor MENA Closed Qualifier - StarLadder Major 2019"
"6187","26/5/19","NASR (25)","FFAmix (23)","nuke
                      Nuke","Asia Minor MENA Closed Qualifier - StarLadder Major 2019"
"6188","26/5/19","NASR (20)","FFAmix (22)","d2
                      Dust2","Asia Minor MENA Closed Qualifier - StarLadder Major 2019"
"6189","26/5/19","BuzzKill (9)","Chaos (16)","ovp
                      Overpass","Europe Minor Open Qualifier 1 - StarLadder Major 2019"
"6190","26/5/19","AGO (16)","ALTERNATE aTTaX (5)","trn
                      Train","Europe Minor Open Qualifier 1 - StarLadder Major 2019"
"6191","26/5/19","PACT (16)","FATE (5)","trn
                      Train","Europe Minor Open Qualifier 1 - StarLadder Major 2019"
"6192","26/5/19","Virtus.pro (16)","Pompa Black (14)","mrg
                      Mirage","Europe Minor Open Qualifier 1 - StarLadder Major 2019"
